onset	duration	event_type	trial_count	old_wealth	new_wealth	gFactIncr
0.0120000000000005	1.78899999999999	Response_window_onset	1	1000	n/a	n/a
1.80099999999999	0.503999999999991	Response	1	n/a	n/a	n/a
2.30499999999998	1.05000000000001	Stimulus_onset	1	n/a	n/a	0
3.35499999999999	1.5	New_wealth_onset	1	n/a	1000	n/a
4.85499999999999	1.357	ITI_onset	1	n/a	n/a	n/a
6.21199999999999	0.633999999999986	Response_window_onset	2	1000	n/a	n/a
6.84599999999998	2.80700000000002	Response	2	n/a	n/a	n/a
9.65299999999999	2.72200000000001	Stimulus_onset	2	n/a	n/a	428
12.375	1.5	New_wealth_onset	2	n/a	1428	n/a
13.875	1.96099999999998	ITI_onset	2	n/a	n/a	n/a
15.836	0.531000000000006	Response_window_onset	3	1428	n/a	n/a
16.367	3.02500000000001	Response	3	n/a	n/a	n/a
19.392	1.91999999999999	Stimulus_onset	3	n/a	n/a	-214
21.312	1.5	New_wealth_onset	3	n/a	1214	n/a
22.812	3.01400000000001	ITI_onset	3	n/a	n/a	n/a
25.826	0.563999999999993	Response_window_onset	4	1214	n/a	n/a
26.39	2.95699999999999	Response	4	n/a	n/a	n/a
29.347	2.55500000000001	Stimulus_onset	4	n/a	n/a	214
31.902	1.5	New_wealth_onset	4	n/a	1428	n/a
33.402	0.649000000000001	ITI_onset	4	n/a	n/a	n/a
34.051	0.757000000000005	Response_window_onset	5	1428	n/a	n/a
34.808	2.57300000000001	Response	5	n/a	n/a	n/a
37.381	1.76999999999998	Stimulus_onset	5	n/a	n/a	428
39.151	1.5	New_wealth_onset	5	n/a	1856	n/a
40.651	2.096	ITI_onset	5	n/a	n/a	n/a
42.747	0.47999999999999	Response_window_onset	6	1856	n/a	n/a
43.227	3.12400000000002	Response	6	n/a	n/a	n/a
46.351	3.023	Stimulus_onset	6	n/a	n/a	-428
49.374	1.5	New_wealth_onset	6	n/a	1428	n/a
50.874	2.471	ITI_onset	6	n/a	n/a	n/a
53.345	0.388999999999982	Response_window_onset	7	1428	n/a	n/a
53.734	3.30800000000002	Response	7	n/a	n/a	n/a
57.042	2.52099999999999	Stimulus_onset	7	n/a	n/a	428
59.563	1.5	New_wealth_onset	7	n/a	1856	n/a
61.063	2.26400000000001	ITI_onset	7	n/a	n/a	n/a
63.327	0.445999999999998	Response_window_onset	8	1856	n/a	n/a
63.773	3.191	Response	8	n/a	n/a	n/a
66.964	2.28699999999998	Stimulus_onset	8	n/a	n/a	0
69.251	1.5	New_wealth_onset	8	n/a	1856	n/a
70.751	2.03400000000002	ITI_onset	8	n/a	n/a	n/a
72.785	0.441999999999979	Response_window_onset	9	1856	n/a	n/a
73.227	3.191	Response	9	n/a	n/a	n/a
76.418	2.27100000000002	Stimulus_onset	9	n/a	n/a	-214
78.689	1.5	New_wealth_onset	9	n/a	1642	n/a
80.189	3.33599999999998	ITI_onset	9	n/a	n/a	n/a
83.525	0.40900000000002	Response_window_onset	10	1642	n/a	n/a
83.934	3.25799999999998	Response	10	n/a	n/a	n/a
87.192	2.90600000000001	Stimulus_onset	10	n/a	n/a	321
90.098	1.5	New_wealth_onset	10	n/a	1963	n/a
91.598	3.95000000000002	ITI_onset	10	n/a	n/a	n/a
95.548	0.345999999999975	Response_window_onset	11	1963	n/a	n/a
95.894	3.39100000000002	Response	11	n/a	n/a	n/a
99.285	1.30199999999999	Stimulus_onset	11	n/a	n/a	321
100.587	1.5	New_wealth_onset	11	n/a	2284	n/a
102.087	3.22200000000001	ITI_onset	11	n/a	n/a	n/a
105.309	0.423000000000002	Response_window_onset	12	2284	n/a	n/a
105.732	3.24099999999999	Response	12	n/a	n/a	n/a
108.973	3.09000000000003	Stimulus_onset	12	n/a	n/a	214
112.063	1.5	New_wealth_onset	12	n/a	2498	n/a
113.563	3.44099999999997	ITI_onset	12	n/a	n/a	n/a
117.004	0.370999999999981	Response_window_onset	13	2498	n/a	n/a
117.375	3.34200000000004	Response	13	n/a	n/a	n/a
120.717	2.08599999999996	Stimulus_onset	13	n/a	n/a	-107
122.803	1.5	New_wealth_onset	13	n/a	2391	n/a
124.303	1.30700000000002	ITI_onset	13	n/a	n/a	n/a
125.61	0.668000000000006	Response_window_onset	14	2391	n/a	n/a
126.278	2.74000000000001	Response	14	n/a	n/a	n/a
129.018	1.26900000000001	Stimulus_onset	14	n/a	n/a	214
130.287	1.5	New_wealth_onset	14	n/a	2605	n/a
131.787	3.76400000000001	ITI_onset	14	n/a	n/a	n/a
135.551	0.381999999999948	Response_window_onset	15	2605	n/a	n/a
135.933	3.32500000000005	Response	15	n/a	n/a	n/a
139.258	1.70299999999997	Stimulus_onset	15	n/a	n/a	-321
140.961	1.5	New_wealth_onset	15	n/a	2284	n/a
142.461	0.92900000000003	ITI_onset	15	n/a	n/a	n/a
143.39	0.526999999999987	Response_window_onset	16	2284	n/a	n/a
143.917	3.024	Response	16	n/a	n/a	n/a
146.941	1.202	Stimulus_onset	16	n/a	n/a	-107
148.143	1.5	New_wealth_onset	16	n/a	2177	n/a
149.643	1.11699999999996	ITI_onset	16	n/a	n/a	n/a
150.76	0.439999999999998	Response_window_onset	17	2177	n/a	n/a
151.2	3.20800000000003	Response	17	n/a	n/a	n/a
154.408	0.934000000000026	Stimulus_onset	17	n/a	n/a	-107
155.342	1.5	New_wealth_onset	17	n/a	2070	n/a
156.842	0.742999999999995	ITI_onset	17	n/a	n/a	n/a
157.585	0.58099999999996	Response_window_onset	18	2070	n/a	n/a
158.166	2.923	Response	18	n/a	n/a	n/a
161.089	0.850999999999999	Stimulus_onset	18	n/a	n/a	-321
161.94	1.5	New_wealth_onset	18	n/a	1749	n/a
163.44	1.26500000000004	ITI_onset	18	n/a	n/a	n/a
164.705	0.392999999999972	Response_window_onset	19	1749	n/a	n/a
165.098	3.291	Response	19	n/a	n/a	n/a
168.389	2.404	Stimulus_onset	19	n/a	n/a	-107
170.793	1.5	New_wealth_onset	19	n/a	1642	n/a
172.293	2.24299999999999	ITI_onset	19	n/a	n/a	n/a
174.536	0.350000000000023	Response_window_onset	20	1642	n/a	n/a
174.886	3.375	Response	20	n/a	n/a	n/a
178.261	2.92199999999997	Stimulus_onset	20	n/a	n/a	321
181.183	1.5	New_wealth_onset	20	n/a	1963	n/a
182.683	0.608000000000004	ITI_onset	20	n/a	n/a	n/a
183.291	0.498000000000047	Response_window_onset	21	1963	n/a	n/a
183.789	3.09099999999995	Response	21	n/a	n/a	n/a
186.88	3.10599999999999	Stimulus_onset	21	n/a	n/a	214
189.986	1.5	New_wealth_onset	21	n/a	2177	n/a
191.486	2.608	ITI_onset	21	n/a	n/a	n/a
194.094	0.385000000000048	Response_window_onset	22	2177	n/a	n/a
194.479	3.30799999999999	Response	22	n/a	n/a	n/a
197.787	3.20699999999999	Stimulus_onset	22	n/a	n/a	214
200.994	1.5	New_wealth_onset	22	n/a	2391	n/a
202.494	2.30500000000001	ITI_onset	22	n/a	n/a	n/a
204.799	0.471000000000004	Response_window_onset	23	2391	n/a	n/a
205.27	3.14099999999996	Response	23	n/a	n/a	n/a
208.411	1.60400000000004	Stimulus_onset	23	n/a	n/a	214
210.015	1.5	New_wealth_onset	23	n/a	2605	n/a
211.515	2.25299999999999	ITI_onset	23	n/a	n/a	n/a
213.768	0.438999999999965	Response_window_onset	24	2605	n/a	n/a
214.207	3.20700000000005	Response	24	n/a	n/a	n/a
217.414	2.03799999999995	Stimulus_onset	24	n/a	n/a	-107
219.452	1.5	New_wealth_onset	24	n/a	2498	n/a
220.952	1.70100000000002	ITI_onset	24	n/a	n/a	n/a
222.653	0.37299999999999	Response_window_onset	25	2498	n/a	n/a
223.026	3.34100000000001	Response	25	n/a	n/a	n/a
226.367	2.42200000000003	Stimulus_onset	25	n/a	n/a	321
228.789	1.5	New_wealth_onset	25	n/a	2819	n/a
230.289	2.55499999999995	ITI_onset	25	n/a	n/a	n/a
232.844	0.439000000000021	Response_window_onset	26	2819	n/a	n/a
233.283	3.20699999999999	Response	26	n/a	n/a	n/a
236.49	2.03700000000003	Stimulus_onset	26	n/a	n/a	321
238.527	1.5	New_wealth_onset	26	n/a	3140	n/a
240.027	1.22199999999998	ITI_onset	26	n/a	n/a	n/a
241.249	0.401999999999987	Response_window_onset	27	3140	n/a	n/a
241.651	3.27500000000003	Response	27	n/a	n/a	n/a
244.926	2.88799999999998	Stimulus_onset	27	n/a	n/a	-428
247.814	1.5	New_wealth_onset	27	n/a	2712	n/a
249.314	2.733	ITI_onset	27	n/a	n/a	n/a
252.047	0.394999999999982	Response_window_onset	28	2712	n/a	n/a
252.442	3.291	Response	28	n/a	n/a	n/a
255.733	3.25700000000003	Stimulus_onset	28	n/a	n/a	321
258.99	1.5	New_wealth_onset	28	n/a	3033	n/a
260.49	2.74299999999994	ITI_onset	28	n/a	n/a	n/a
263.233	0.383000000000038	Response_window_onset	29	3033	n/a	n/a
263.616	3.30799999999999	Response	29	n/a	n/a	n/a
266.924	3.10599999999999	Stimulus_onset	29	n/a	n/a	-428
270.03	1.5	New_wealth_onset	29	n/a	2605	n/a
271.53	0.974000000000046	ITI_onset	29	n/a	n/a	n/a
272.504	0.5	Response_window_onset	30	2605	n/a	n/a
273.004	3.07399999999996	Response	30	n/a	n/a	n/a
276.078	2.01999999999998	Stimulus_onset	30	n/a	n/a	428
278.098	1.5	New_wealth_onset	30	n/a	3033	n/a
279.598	3.78600000000006	ITI_onset	30	n/a	n/a	n/a
283.384	0.36099999999999	Response_window_onset	31	3033	n/a	n/a
283.745	3.35900000000004	Response	31	n/a	n/a	n/a
287.104	3.22199999999998	Stimulus_onset	31	n/a	n/a	321
290.326	1.5	New_wealth_onset	31	n/a	3354	n/a
291.826	1.88799999999992	ITI_onset	31	n/a	n/a	n/a
293.714	0.420000000000073	Response_window_onset	32	3354	n/a	n/a
294.134	3.24099999999999	Response	32	n/a	n/a	n/a
297.375	1.62	Stimulus_onset	32	n/a	n/a	-321
298.995	1.5	New_wealth_onset	32	n/a	3033	n/a
300.495	3.86799999999994	ITI_onset	32	n/a	n/a	n/a
304.363	0.36099999999999	Response_window_onset	33	3033	n/a	n/a
304.724	3.35800000000006	Response	33	n/a	n/a	n/a
308.082	1.00199999999995	Stimulus_onset	33	n/a	n/a	0
309.084	1.5	New_wealth_onset	33	n/a	3033	n/a
310.584	3.00600000000009	ITI_onset	33	n/a	n/a	n/a
313.59	0.404999999999973	Response_window_onset	34	3033	n/a	n/a
313.995	3.25800000000004	Response	34	n/a	n/a	n/a
317.253	1.90299999999991	Stimulus_onset	34	n/a	n/a	107
319.156	1.5	New_wealth_onset	34	n/a	3140	n/a
320.656	3.92000000000007	ITI_onset	34	n/a	n/a	n/a
324.576	0.392999999999915	Response_window_onset	35	3140	n/a	n/a
324.969	3.29200000000003	Response	35	n/a	n/a	n/a
